Instance,Opt Gap,Time(s)
inst_350commods_12_5.txt,7.43E-16,0.324434
inst_350commods_18_1.txt,0.001695455,0.3167059
inst_350commods_18_2.txt,0.001628717,0.3859782
inst_350commods_18_3.txt,9.97E-16,0.3630998
inst_350commods_18_4.txt,0,0.3484448
inst_350commods_18_5.txt,0.00169002,0.3496079
inst_350commods_24_1.txt,0.007939742,0.7447834
inst_350commods_24_2.txt,0.008256514,0.6292564
inst_350commods_24_3.txt,0.009786861,1.4403467
inst_350commods_24_4.txt,0.004986498,0.6877595
inst_350commods_24_5.txt,0.009464692,1.243112
inst_350commods_30_1.txt,0.00905196,0.6262931
inst_350commods_30_2.txt,0.002884506,1.0411838
inst_350commods_30_3.txt,0.009591887,0.6679961
inst_350commods_30_4.txt,0.008277417,2.2893028
inst_350commods_30_5.txt,0.009616132,2.904827
inst_350commods_36_1.txt,0.002412666,0.5666729
inst_350commods_36_2.txt,0.008685629,0.8244113
inst_350commods_36_3.txt,0.009921795,0.8255549
inst_350commods_36_4.txt,0.008593481,0.5419488
inst_350commods_36_5.txt,0.005876186,1.0121144
inst_350commods_42_1.txt,0.007758463,0.8020827
inst_350commods_42_2.txt,0.005471225,0.7775569
inst_350commods_42_3.txt,0.007654479,0.8347283
inst_350commods_42_4.txt,0.008905816,0.5808483
inst_350commods_42_5.txt,0.008835084,1.1234515
inst_350commods_48_1.txt,0.006198347,0.8836774
inst_350commods_48_2.txt,0,1.0771618
inst_350commods_48_3.txt,0.009874679,0.9844527
inst_350commods_48_4.txt,0.009477684,0.880196
inst_350commods_48_5.txt,0.007414686,0.7944343
inst_350commods_6_1.txt,0.001588646,0.3083534
inst_350commods_6_2.txt,0,0.3319674
inst_350commods_6_3.txt,0,0.3362232
inst_350commods_6_4.txt,5.61E-16,0.3084172
inst_350commods_6_5.txt,0.007076253,0.3150885
inst_400commods_12_1.txt,0,0.3538189
inst_400commods_12_2.txt,0.004494883,0.3853494
inst_400commods_12_3.txt,6.86E-16,0.3602622
inst_400commods_12_4.txt,6.95E-04,0.3765728
inst_400commods_12_5.txt,0,0.3620707
inst_400commods_18_1.txt,7.19E-16,0.3519596
inst_400commods_18_2.txt,8.72E-16,0.3826925
inst_400commods_18_3.txt,0,0.3639283
inst_400commods_18_4.txt,0.003884093,0.3923892
inst_400commods_18_5.txt,0.001522438,0.4002163
inst_400commods_24_1.txt,7.74E-04,0.608028
inst_400commods_24_2.txt,0.009708627,1.1301415
inst_400commods_24_3.txt,0.006449186,2.6402847
inst_400commods_24_4.txt,0.00796308,1.0384876
inst_400commods_24_5.txt,0.006009741,2.4585296
inst_400commods_30_1.txt,0.009839678,0.7585386
inst_400commods_30_2.txt,0.006650051,1.4127938
inst_400commods_30_3.txt,0.001759025,1.0306828
inst_400commods_30_4.txt,0.007794695,2.0333018
inst_400commods_30_5.txt,0.009648637,1.3210058
inst_400commods_36_1.txt,0.00256543,0.9222518
inst_400commods_36_2.txt,0.003557519,1.3849402
inst_400commods_36_3.txt,0.002641702,0.9511025
inst_400commods_36_4.txt,0.009673192,0.9516993
inst_400commods_36_5.txt,0.008297455,0.9118465
inst_400commods_42_1.txt,0.009985635,0.7235528
inst_400commods_42_2.txt,0.007718967,2.2891058
inst_400commods_42_3.txt,0.008139038,0.846828
